source_key,title,author,year,use,url
dellapergola_2001,Some Fundamentals of Jewish Demographic History,Sergio DellaPergola,2001,"Table 2: Jewish population estimates by major regions, 1170–1995",https://www.bjpa.org/content/upload/bjpa/dell/DellaPergola%20Some%20Fundamentals.pdf
dellapergola_2024,"World Jewish Population, 2024",Sergio DellaPergola,2025,Table 8.2: estimated core Jewish population by major geographical regions at 1 Jan 2024,https://www.cbs.gov.il/he/Documents/World%20DellaPergola%202024%20complete.pdf
dellapergola_2024_history,Notes toward a Demographic History of the Jews,Sergio DellaPergola,2024,Historical interpretation and explicit discussion of uncertainty and fragmentary evidence,https://www.mdpi.com/2313-5778/8/1/2
iijg_europe,Maps of Jewish Communities and their Populations in Europe: 1750–1950,"Laurence Leitenberg / Sandra Crystall, IIJG",,"Planned enrichment layer: 827 European communities across 1750, 1800, 1850, 1900, 1930, 1950",https://iijg.org/tools-and-technologies/maps-of-jewish-communities/
